timestamp,face_index,dominant_emotion,scores_json
2026-01-16T00:13:25.920061,1,neutral,"{'angry': 0.20085973665118217, 'disgust': 0.08222186588682234, 'fear': 0.9041386656463146, 'happy': 40.80744683742523, 'sad': 8.492355048656464, 'surprise': 0.13777557760477066, 'neutral': 49.375203251838684}"
2026-01-16T00:17:30.393097,1,happy,"{'angry': 1.0936282393167118e-08, 'disgust': 2.7025352935051623e-16, 'fear': 2.5938093823351727e-11, 'happy': 96.46536090763574, 'sad': 5.671023544607532e-07, 'surprise': 1.593638915895299e-06, 'neutral': 3.5346417000676214}"
2026-01-17T17:16:16.878260,1,happy,"{'angry': 1.0936282393167118e-08, 'disgust': 2.7025352935051623e-16, 'fear': 2.5938093823351727e-11, 'happy': 96.46536090763574, 'sad': 5.671023544607532e-07, 'surprise': 1.593638915895299e-06, 'neutral': 3.5346417000676214}"
2026-01-17T17:20:45.076910,1,happy,"{'angry': 0.04815344582311809, 'disgust': 0.0026087509468197823, 'fear': 20.112907886505127, 'happy': 50.02450942993164, 'sad': 28.25295925140381, 'surprise': 0.0004836393145524198, 'neutral': 1.5583790838718414}"
2026-01-19T15:44:34.394565,1,,{}
2026-01-19T15:44:34.394565,2,happy,"{'angry': 0.311810988932848, 'disgust': 0.0003945642674807459, 'fear': 0.027638941537588835, 'happy': 95.15777826309204, 'sad': 2.429226227104664, 'surprise': 0.2588981296867132, 'neutral': 1.81425791233778}"
2026-01-19T15:48:46.261444,1,,{}
2026-01-19T15:48:46.261444,2,neutral,"{'angry': 1.1638319119811058, 'disgust': 0.00685276318108663, 'fear': 1.1901095509529114, 'happy': 0.23467091377824545, 'sad': 10.134641081094742, 'surprise': 0.013441250484902412, 'neutral': 87.25644946098328}"
2026-01-19T15:48:46.261444,3,fear,"{'angry': 0.0001802345549333917, 'disgust': 2.9271181986068893e-07, 'fear': 89.00944721586141, 'happy': 0.4828035721565995, 'sad': 4.251890122665152, 'surprise': 0.004762877666253279, 'neutral': 6.250915676246205}"
2026-01-19T15:49:50.029731,1,,{}
2026-01-19T15:49:50.029731,2,neutral,"{'angry': 0.319805508479476, 'disgust': 8.015499020075367e-06, 'fear': 5.171161890029907, 'happy': 0.7372701540589333, 'sad': 1.288799662142992, 'surprise': 0.49189026467502117, 'neutral': 91.99106097221375}"
2026-01-19T15:50:53.643401,1,happy,"{'angry': 1.0936282393167118e-08, 'disgust': 2.7025352935051623e-16, 'fear': 2.5938093823351727e-11, 'happy': 96.46536090763574, 'sad': 5.671023544607532e-07, 'surprise': 1.593638915895299e-06, 'neutral': 3.5346417000676214}"
2026-01-19T16:02:53.700218,1,fear,"{'angry': 41.477417945861816, 'disgust': 0.012989511014893651, 'fear': 52.77286767959595, 'happy': 0.470977695658803, 'sad': 5.176343396306038, 'surprise': 0.004377148798084818, 'neutral': 0.08502929122187197}"
2026-01-19T16:02:53.701225,2,,{}
2026-01-19T16:02:53.701225,3,angry,"{'angry': 91.15811533678266, 'disgust': 5.356856611176185e-06, 'fear': 6.653724262340323, 'happy': 0.2551016316995997, 'sad': 1.90785836624255, 'surprise': 1.4292806679682375e-08, 'neutral': 0.025194247474364787}"
2026-01-19T16:02:53.701225,4,happy,"{'angry': 2.6189664813423153e-15, 'disgust': 1.3677963709501882e-24, 'fear': 3.590395646759893e-16, 'happy': 99.99816417694092, 'sad': 3.837875655297862e-11, 'surprise': 3.090152439488847e-09, 'neutral': 0.0018355947759118862}"
2026-01-19T16:02:53.701225,5,,{}
2026-01-19T16:04:41.583847,1,happy,"{'angry': 1.0936282393167118e-08, 'disgust': 2.7025352935051623e-16, 'fear': 2.5938093823351727e-11, 'happy': 96.46536090763574, 'sad': 5.671023544607532e-07, 'surprise': 1.593638915895299e-06, 'neutral': 3.5346417000676214}"
2026-01-27T16:48:00.806011,1,neutral,"{'angry': 0.16387908628534242, 'disgust': 1.7541280113463776e-05, 'fear': 0.42136688350237805, 'happy': 1.1022620451734013, 'sad': 2.3218686718501242, 'surprise': 0.02795764261057763, 'neutral': 95.96264410464238}"
2026-01-29T01:19:03.476133,1,neutral,"{'angry': 3.6293666809797287, 'disgust': 0.09732737089507282, 'fear': 4.136797785758972, 'happy': 24.90287721157074, 'sad': 19.93548721075058, 'surprise': 0.5485996603965759, 'neutral': 46.74954414367676}"
